doc_nouns,doc_verbs,doc_adjcs,doc_advbs,doc_nums,ordinal_position,length_of_sentence,doc_unaware_noun_ratio,doc_unaware_verb_ratio,doc_unaware_adj_ratio,doc_unaware_adv_ratio,doc_unaware_num_ratio,cue_words,explicit_doc_sents,explicit_doc_words,explicit_topical_categoty,doc_aware_relative_length,doc_aware_tfisf,doc_aware_cosine_position,doc_aware_noun_ratio,doc_aware_verb_ratio,doc_aware_adj_ratio,doc_aware_adv_ratio,doc_aware_num_ratio,target,id 
88,11,21,1,4,1.0,13,0.46153846153846156,0.07692307692307693,0.23076923076923078,0.0,0.0,0,14,124,4,1.4677419354838708,1.313592342543063,0.9427849336151912,0.06818181818181818,0.09090909090909091,0.14285714285714285,0.0,0.0,1.0,1
88,11,21,1,4,0.5,11,0.5454545454545454,0.09090909090909091,0.2727272727272727,0.0,0.0,0,14,124,4,1.2419354838709677,1.3093088367360561,0.7842339897464372,0.06818181818181818,0.09090909090909091,0.14285714285714285,0.0,0.0,0.0,2
88,11,21,1,4,0.3333333333333333,5,0.6,0.0,0.4,0.0,0.0,0,14,124,4,0.564516129032258,1.3403728671685582,0.5606331795090371,0.03409090909090909,0.0,0.09523809523809523,0.0,0.0,0.0,3
88,11,21,1,4,0.25,10,0.5,0.1,0.2,0.0,0.0,0,14,124,4,1.129032258064516,1.14254342573658,0.323155843708711,0.056818181818181816,0.09090909090909091,0.09523809523809523,0.0,0.0,1.0,4
88,11,21,1,4,0.2,8,1.0,0.0,0.0,0.0,0.0,0,14,124,4,0.9032258064516129,1.0,0.12615110847627098,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,5
88,11,21,1,4,0.16666666666666666,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.0,0.0,0,14,124,4,1.2419354838709677,1.1727395624810375,0.014705529829500463,0.07954545454545454,0.09090909090909091,0.047619047619047616,0.0,0.0,0.0,6
88,11,21,1,4,0.14285714285714285,7,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0,14,124,4,0.7903225806451613,1.0678144185608018,0.014324572490672871,0.045454545454545456,0.0,0.09523809523809523,0.0,0.0,0.0,7
88,11,21,1,4,0.125,9,0.6666666666666666,0.0,0.0,0.0,0.0,0,14,124,4,1.0161290322580645,1.2638706796907808,0.12509542245751148,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,8
88,11,21,1,4,0.1111111111111111,9,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.0,0.0,0,14,124,4,1.0161290322580645,1.0834590009336225,0.32166703359259874,0.056818181818181816,0.09090909090909091,0.09523809523809523,0.0,0.0,1.0,9
88,11,21,1,4,0.1,8,0.75,0.0,0.125,0.0,0.0,0,14,124,4,0.9032258064516129,1.1532289922910268,0.5590519747740836,0.06818181818181818,0.0,0.047619047619047616,0.0,0.0,0.0,10
88,11,21,1,4,0.09090909090909091,13,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.0,0.0,0,14,124,4,1.4677419354838708,1.1096487890281386,0.7829222653281549,0.056818181818181816,0.36363636363636365,0.14285714285714285,0.0,0.0,0.0,11
88,11,21,1,4,0.08333333333333333,12,0.6666666666666666,0.08333333333333333,0.0,0.0,0.0,0,14,124,4,1.3548387096774193,1.158344598940951,0.9420428911122634,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,1.0,12
88,11,21,1,4,0.07692307692307693,8,0.75,0.0,0.25,0.0,0.0,0,14,124,4,0.9032258064516129,1.2375168984114269,0.9999974634566877,0.06818181818181818,0.0,0.09523809523809523,0.0,0.0,1.0,13
88,11,21,1,4,0.07142857142857142,0,0,0,0,0,0,0,14,124,4,0.0,0,0.9435224835454703,0.0,0.0,0.0,0.0,0.0,0,14
89,28,30,2,2,1.0,9,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0,14,165,2,0.7636363636363636,1.4279189821328373,0.9427849336151912,0.056179775280898875,0.03571428571428571,0.06666666666666667,0.5,0.0,0.0,15
89,28,30,2,2,0.5,23,0.6086956521739131,0.13043478260869565,0.13043478260869565,0.0,0.0,1,14,165,2,1.9515151515151514,1.3201387691432205,0.7842339897464372,0.15730337078651685,0.10714285714285714,0.1,0.0,0.0,1.0,16
89,28,30,2,2,0.3333333333333333,18,0.5,0.1111111111111111,0.2222222222222222,0.0,0.0,1,14,165,2,1.5272727272727271,1.3638340814384364,0.5606331795090371,0.10112359550561797,0.07142857142857142,0.13333333333333333,0.0,0.0,1.0,17
89,28,30,2,2,0.25,6,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0,14,165,2,0.509090909090909,1.283179015714213,0.323155843708711,0.033707865168539325,0.03571428571428571,0.03333333333333333,0.5,0.0,0.0,18
89,28,30,2,2,0.2,13,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693,0,14,165,2,1.103030303030303,1.4963029919031368,0.12615110847627098,0.0449438202247191,0.10714285714285714,0.03333333333333333,0.0,0.5,0.0,19
89,28,30,2,2,0.16666666666666666,12,0.25,0.16666666666666666,0.16666666666666666,0.0,0.0,1,14,165,2,1.018181818181818,1.6272756566843027,0.014705529829500463,0.033707865168539325,0.07142857142857142,0.06666666666666667,0.0,0.0,0.0,20
89,28,30,2,2,0.14285714285714285,14,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.0,0.0,0,14,165,2,1.1878787878787878,1.5009088638525132,0.014324572490672871,0.056179775280898875,0.03571428571428571,0.03333333333333333,0.0,0.0,1.0,21
